"url","page_type","status","final_url","title","meta_description","h1","h1_count","canonical","og_title","og_image","og_locale","jsonld_types","image_count","internal_link_count","notes"
"https://shutter-envy.co.uk/","home","200","https://shutter-envy.co.uk/","Shutters, Blinds and Awnings Leicester | Shutter Envy","Transform your home with made-to-measure shutters, blinds, awnings and motorised solutions from Shutter Envy. Serving Leicester, Loughborough and Leicestershire.","Shutters, Blinds and Awnings in Leicester and
  Leicestershire","1","https://shutter-envy.co.uk/","Shutters, Blinds and Awnings Leicester | Shutter Envy","https://shutter-envy.co.uk/wp-content/uploads/2024/10/dotwall-Web-Design2024-10-07-at-14.05.55.jpeg","en_US","Organization;Person;ImageObject;WebSite;SearchAction;ImageObject;WebPage;Person;ImageObject;Article;Organization;Person;ImageObject;WebSite;SearchAction;ImageObject;WebPage;Person;ImageObject;Article;FAQPage;Question;Answer;Question;Answer;Question;Answer;Question;Answer;Question;Answer","31","21","og_locale=en_US"
"https://shutter-envy.co.uk/our-shutters/","page","200","https://shutter-envy.co.uk/our-shutters/","Plantation Shutters in Leicester, Loughborough & Leicestershire | Shutter Envy","Discover made-to-measure plantation shutters for homes across Leicester, Loughborough and Leicestershire. Expert measuring, design advice and professional fitting from Shutter Envy.","Plantation Shutters in Leicester, Loughborough and Leicestershire","1","https://shutter-envy.co.uk/our-shutters/","Plantation Shutters in Leicester, Loughborough & Leicestershire | Shutter Envy","https://shutter-envy.co.uk/wp-content/uploads/2024/09/431555826_2629833587193609_4928996973115882659_n.jpg","en_US","Organization;Person;ImageObject;WebSite;ImageObject;WebPage;Person;ImageObject;Article;Organization;Person;ImageObject;WebSite;ImageObject;WebPage;Person;ImageObject;Article","8","29","og_locale=en_US"
"https://shutter-envy.co.uk/recent-work/","page","200","https://shutter-envy.co.uk/recent-work/","Recent Shutter, Blind and Awning Installations in Leicestershire | Shutter Envy","Browse recent shutter, blind and awning installations completed by Shutter Envy across Leicester, Loughborough and Leicestershire.","Recent Shutter, Blind and Awning Installations in Leicestershire","1","https://shutter-envy.co.uk/recent-work/","Recent Shutter, Blind and Awning Installations in Leicestershire | Shutter Envy","https://shutter-envy.co.uk/wp-content/uploads/2024/08/e0fee7_03210890ab994f92b0c0041f639aea66mv2.jpg","en_US","Organization;Person;ImageObject;WebSite;ImageObject;WebPage;Person;ImageObject;Article;Organization;Person;ImageObject;WebSite;ImageObject;WebPage;Person;ImageObject;Article","19","31","og_locale=en_US"
"https://shutter-envy.co.uk/portchester-aluminium-shutters-leicester/","page","200","https://shutter-envy.co.uk/portchester-aluminium-shutters-leicester/","Portchester® Aluminium Shutters in Leicester | Shutter Envy","Secure your home with Portchester® aluminium shutters in Leicester, Loughborough and Leicestershire. Stylish, durable shutters measured and fitted by Shutter Envy.","Portchester® Aluminium Shutters in Leicester and Leicestershire","1","https://shutter-envy.co.uk/portchester-aluminium-shutters-leicester/","Portchester® Aluminium Shutters in Leicester | Shutter Envy","https://shutter-envy.co.uk/wp-content/uploads/2025/02/S-CRAFT-Aluminium-Shutters-Kitchen-4-Satin-White-1024x681.jpg","en_US","Organization;Person;ImageObject;WebSite;ImageObject;WebPage;Person;ImageObject;Article;Organization;Person;ImageObject;WebSite;ImageObject;WebPage;Person;ImageObject;Article","18","30","og_locale=en_US"
"https://shutter-envy.co.uk/awnings/","page","200","https://shutter-envy.co.uk/awnings/","Awnings in Leicestershire | Patio Awnings by Shutter Envy","Create a more comfortable outdoor space with made-to-measure awnings across Leicester, Loughborough and Leicestershire. Supplied and fitted by Shutter Envy.","Awnings in Leicester, Loughborough and Leicestershire","1","https://shutter-envy.co.uk/awnings/","Awnings in Leicestershire | Patio Awnings by Shutter Envy","https://shutter-envy.co.uk/wp-content/uploads/2024/09/919ad246-c30e-452e-b1e7-075e2a8df7dc-1024x768.jpg","en_US","Organization;Person;ImageObject;WebSite;ImageObject;WebPage;Person;ImageObject;Article;Organization;Person;ImageObject;WebSite;ImageObject;WebPage;Person;ImageObject;Article","7","30","og_locale=en_US"
"https://shutter-envy.co.uk/blind-motorisation/","page","200","https://shutter-envy.co.uk/blind-motorisation/","Motorised Blinds in Leicestershire | Electric Blinds by Shutter Envy","Upgrade your home with motorised blinds across Leicester, Loughborough and Leicestershire. Smart electric blinds measured, supplied and fitted by Shutter Envy.","Motorised Blinds in Leicester, Loughborough and Leicestershire","1","https://shutter-envy.co.uk/blind-motorisation/","Motorised Blinds in Leicestershire | Electric Blinds by Shutter Envy","https://shutter-envy.co.uk/wp-content/uploads/2024/08/e0fee7_03210890ab994f92b0c0041f639aea66mv2.jpg","en_US","Organization;Person;ImageObject;WebSite;ImageObject;WebPage;Person;ImageObject;Article;Organization;Person;ImageObject;WebSite;ImageObject;WebPage;Person;ImageObject;Article","6","30","og_locale=en_US"
"https://shutter-envy.co.uk/our-blinds/","page","200","https://shutter-envy.co.uk/our-blinds/","Made-to-Measure Blinds in Leicestershire | Shutter Envy","Explore made-to-measure blinds for homes across Leicester, Loughborough and Leicestershire. Roller, Venetian, vertical and motorised blinds fitted by Shutter Envy.","Made-to-Measure Blinds in Leicester, Loughborough and Leicestershire","1","https://shutter-envy.co.uk/our-blinds/","Made-to-Measure Blinds in Leicestershire | Shutter Envy","https://shutter-envy.co.uk/wp-content/uploads/2024/08/e0fee7_03210890ab994f92b0c0041f639aea66mv2.jpg","en_US","Organization;Person;ImageObject;WebSite;ImageObject;WebPage;Person;ImageObject;Article;Organization;Person;ImageObject;WebSite;ImageObject;WebPage;Person;ImageObject;Article","7","30","og_locale=en_US"
"https://shutter-envy.co.uk/contact/","page","200","https://shutter-envy.co.uk/contact/","Contact Shutter Envy for Blinds and Shutters","Get in touch with Shutter Envy for bespoke blinds, wooden shutters, awnings and motorised solutions across Leicester, Loughborough and Leicestershire.","We’d love to hear from you!","1","https://shutter-envy.co.uk/contact/","Contact Shutter Envy for Blinds and Shutters","https://shutter-envy.co.uk/wp-content/uploads/2024/08/e0fee7_03210890ab994f92b0c0041f639aea66mv2.jpg","en_US","Organization;Person;ImageObject;WebSite;ImageObject;WebPage;Person;ImageObject;Article;Organization;Person;ImageObject;WebSite;ImageObject;WebPage;Person;ImageObject;Article","6","30","og_locale=en_US"
"https://shutter-envy.co.uk/terms/","legal","200","https://shutter-envy.co.uk/terms/","Terms - Shutter Envy","These terms and conditions outline the rules and regulations for the use of Shutter Envy Ltd’s Website, located at www.shutter-envy.co.uk. By accessing this","","0","https://shutter-envy.co.uk/terms/","Terms - Shutter Envy","https://shutter-envy.co.uk/wp-content/uploads/2024/08/e0fee7_03210890ab994f92b0c0041f639aea66mv2.jpg","en_US","Organization;Person;ImageObject;WebSite;ImageObject;WebPage;Person;ImageObject;Article;Organization;Person;ImageObject;WebSite;ImageObject;WebPage;Person;ImageObject;Article","6","18","no_h1 | og_locale=en_US"
"https://shutter-envy.co.uk/british-made-shutters/","page","200","https://shutter-envy.co.uk/british-made-shutters/","British Made Shutters - Shutter Envy","Experience the exceptional quality of true British craftsmanship with our British Made Shutters. Manufactured in Worcestershire, UK, our shutters are","Crafted for Quality and Style","1","https://shutter-envy.co.uk/british-made-shutters/","British Made Shutters - Shutter Envy","https://shutter-envy.co.uk/wp-content/uploads/2025/10/LongLasting-1920w.webp","en_US","Organization;Person;ImageObject;WebSite;ImageObject;WebPage;Person;ImageObject;Article;Organization;Person;ImageObject;WebSite;ImageObject;WebPage;Person;ImageObject;Article","10","18","og_locale=en_US"
"https://shutter-envy.co.uk/privacy-2/","legal","200","https://shutter-envy.co.uk/privacy-2/","Privacy - Shutter Envy","This privacy policy applies between you, the User of this Website, and Shutter Envy Ltd, the owner and provider of this Website. Shutter Envy Ltd takes the","","0","https://shutter-envy.co.uk/privacy-2/","Privacy - Shutter Envy","https://shutter-envy.co.uk/wp-content/uploads/2024/08/e0fee7_03210890ab994f92b0c0041f639aea66mv2.jpg","en_US","Organization;Person;ImageObject;WebSite;ImageObject;WebPage;Person;ImageObject;Article;Organization;Person;ImageObject;WebSite;ImageObject;WebPage;Person;ImageObject;Article","1","1","no_h1 | og_locale=en_US"
"https://shutter-envy.co.uk/our-shutters/colour-swatches/","page","200","https://shutter-envy.co.uk/our-shutters/colour-swatches/","Colour Swatches - Shutter Envy","Seattle PAINT OPTIONS (6 COLOURS) Colour ID Colour Name Swatch Recommended Hinge Colour Optional Hinge Colour 001 Pure White Pure White Antique Brass Bisque","Shutter Colour Swatches","1","https://shutter-envy.co.uk/our-shutters/colour-swatches/","Colour Swatches - Shutter Envy","https://shutter-envy.co.uk/wp-content/uploads/2024/08/e0fee7_03210890ab994f92b0c0041f639aea66mv2.jpg","en_US","Organization;Person;ImageObject;WebSite;ImageObject;WebPage;Person;ImageObject;Article;Organization;Person;ImageObject;WebSite;ImageObject;WebPage;Person;ImageObject;Article","6","18","og_locale=en_US"
